Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2004,South Carolina,0.18,0.064,0.21899999999999997,0.5379999999999999
2004,South Dakota,0.141,0.063,0.23600000000000002,0.56
2004,Tennessee,0.215,0.046,0.222,0.517
2004,Texas,0.136,0.069,0.20199999999999999,0.593
2004,Utah,0.078,0.027000000000000003,0.158,0.738
2004,Vermont,0.15,0.05,0.306,0.494
2004,Virginia,0.159,0.05,0.233,0.5579999999999999
2004,Virgin Islands,0.059000000000000004,0.035,0.099,0.807
2004,Washington,0.14,0.053,0.253,0.555
2004,West Virginia,0.218,0.051,0.251,0.48
2004,Wisconsin,0.165,0.054000000000000006,0.243,0.5379999999999999
2004,Wyoming,0.165,0.052000000000000005,0.249,0.534
2003,Alabama,0.19699999999999998,0.057,0.239,0.508
2003,Alaska,0.193,0.07,0.261,0.47700000000000004
2003,Arizona,0.154,0.055,0.262,0.53
2003,Arkansas,0.205,0.042,0.254,0.498
2003,California,0.113,0.055,0.252,0.58
2003,Colorado,0.138,0.047,0.272,0.542
2003,Connecticut,0.139,0.047,0.312,0.502
2003,Delaware,0.16899999999999998,0.05,0.281,0.5
2003,District of Columbia,0.139,0.081,0.222,0.5579999999999999
2003,Florida,0.174,0.065,0.268,0.493
2003,Georgia,0.165,0.062,0.217,0.556
2003,Guam,0.263,0.078,0.14300000000000002,0.517
2003,Hawaii,0.141,0.032,0.24100000000000002,0.586
2003,Idaho,0.15,0.04,0.235,0.5760000000000001
2003,Illinois,0.171,0.063,0.244,0.522
2003,Indiana,0.21100000000000002,0.05,0.244,0.495
2003,Iowa,0.162,0.054000000000000006,0.245,0.5379999999999999
2003,Kansas,0.163,0.040999999999999995,0.23,0.5660000000000001
2003,Kentucky,0.268,0.04,0.225,0.467
2003,Louisiana,0.204,0.062,0.207,0.527
2003,Maine,0.19699999999999998,0.039,0.311,0.452
2003,Maryland,0.152,0.049,0.237,0.562
2003,Massachusetts,0.145,0.046,0.31,0.499
2003,Michigan,0.207,0.054000000000000006,0.258,0.48100000000000004
2003,Minnesota,0.159,0.052000000000000005,0.28300000000000003,0.506
2003,Mississippi,0.19699999999999998,0.057999999999999996,0.207,0.5379999999999999
2003,Missouri,0.231,0.040999999999999995,0.243,0.485
2003,Montana,0.14800000000000002,0.051,0.284,0.516
2003,Nationwide (States and DC),0.16899999999999998,0.051,0.252,0.52
2003,"Nationwide (States, DC, and Territories)",0.16699999999999998,0.051,0.252,0.521
2003,Nebraska,0.16,0.053,0.24,0.547
2003,Nevada,0.203,0.049,0.252,0.49700000000000005
2003,New Hampshire,0.17,0.042,0.31,0.478
2003,New Jersey,0.14,0.054000000000000006,0.263,0.5429999999999999
2003,New Mexico,0.158,0.062,0.259,0.521
2003,New York,0.165,0.051,0.254,0.53
2003,North Carolina,0.188,0.06,0.23199999999999998,0.52
2003,North Dakota,0.161,0.044000000000000004,0.256,0.539
2003,Ohio,0.195,0.057,0.23800000000000002,0.51
2003,Oklahoma,0.203,0.048,0.221,0.527
2003,Oregon,0.158,0.052000000000000005,0.267,0.524
2003,Pennsylvania,0.20199999999999999,0.053,0.252,0.494
2003,Puerto Rico,0.08900000000000001,0.046,0.177,0.688
2003,Rhode Island,0.172,0.051,0.29100000000000004,0.485
2003,South Carolina,0.196,0.059000000000000004,0.23,0.515
2003,South Dakota,0.16399999999999998,0.063,0.253,0.52
2003,Tennessee,0.21100000000000002,0.045,0.18899999999999997,0.5539999999999999
2003,Texas,0.156,0.065,0.21600000000000003,0.563
2003,Utah,0.086,0.033,0.166,0.715
2003,Vermont,0.154,0.042,0.304,0.501
2003,Virginia,0.172,0.048,0.24,0.54
2003,Virgin Islands,0.079,0.02,0.136,0.764
2003,Washington,0.146,0.05,0.262,0.542
2003,West Virginia,0.226,0.048,0.258,0.469
2003,Wisconsin,0.17300000000000001,0.047,0.273,0.507
2003,Wyoming,0.198,0.048,0.262,0.491
2002,Alabama,0.192,0.052000000000000005,0.23199999999999998,0.524
2002,Alaska,0.21899999999999997,0.07400000000000001,0.256,0.45
2002,Arizona,0.17800000000000002,0.055999999999999994,0.244,0.522
2002,Arkansas,0.215,0.048,0.249,0.488
2002,California,0.111,0.053,0.239,0.596
2002,Colorado,0.156,0.047,0.256,0.54
2002,Connecticut,0.14400000000000002,0.05,0.304,0.502
2002,Delaware,0.195,0.051,0.263,0.49
2002,District of Columbia,0.134,0.07,0.204,0.5920000000000001
2002,Florida,0.17800000000000002,0.042,0.251,0.529
2002,Georgia,0.177,0.055999999999999994,0.22399999999999998,0.5429999999999999
2002,Guam,0.248,0.071,0.155,0.526
2002,Hawaii,0.171,0.039,0.243,0.547
2002,Idaho,0.163,0.043,0.242,0.552
2002,Illinois,0.17800000000000002,0.051,0.22899999999999998,0.5429999999999999
2002,Indiana,0.23,0.047,0.233,0.491
2002,Iowa,0.188,0.043,0.23399999999999999,0.534
2002,Kansas,0.17600000000000002,0.045,0.243,0.536
2002,Kentucky,0.29100000000000004,0.035,0.22,0.455
2002,Louisiana,0.19,0.049,0.192,0.57
2002,Maine,0.196,0.04,0.33399999999999996,0.431
2002,Maryland,0.163,0.055999999999999994,0.237,0.544
2002,Massachusetts,0.14400000000000002,0.045,0.29100000000000004,0.52
2002,Michigan,0.193,0.048,0.271,0.48700000000000004
2002,Minnesota,0.162,0.055,0.268,0.514
2002,Mississippi,0.214,0.059000000000000004,0.2,0.527
2002,Missouri,0.22,0.045,0.255,0.48
2002,Montana,0.157,0.055,0.261,0.527
2002,Nationwide (States and DC),0.17800000000000002,0.05,0.247,0.52
2002,"Nationwide (States, DC, and Territories)",0.17800000000000002,0.05,0.244,0.523
2002,Nebraska,0.17800000000000002,0.049,0.22899999999999998,0.544
